date,vendor,amount,billing_period,notes
2026-08-01,Xfinity,41.38,August 2026,"Automatic payment, bill statement dated 2026-07-06"
2026-08-19,Xcel Energy,132.26,August 2026,"Statement dated 2026-07-31, due 2026-08-19"
2026-09-02,Domuso (rent),2554.63,September 2026,Rent payment accepted for Viceroy Observatory Park unit 1911-528
2026-09-01,Xfinity,41.38,September 2026,"Automatic payment, bill statement dated 2026-08-06"
2026-09-17,Xcel Energy,124.19,September 2026,"Statement ready, due 2026-10-07"
